grid, u, T, D, Y_C2H4, Y_H2, Y_H, Y_O2, Y_O, Y_H2O, Y_CO, Y_CO2, Y_OH, Y_HCO, Y_HO2, Y_H2O2, Y_C2H3, Y_C2H2, Y_CH4, Y_CH3, Y_CH2, Y_CH2O, Y_CH2CHO, Y_N2, Qdot
2.650000000000e-02, 5.952427181689e-01, 3.000000001711e+02, 1.169849912620e+00, 6.372924843009e-02, 2.159969957496e-07, 1.159961983623e-22, 2.180660540644e-01, 1.455632182092e-18, 1.464401910305e-11, 2.087275937228e-12, -9.826626924272e-15, 8.219973979129e-18, 5.776774767076e-21, 5.212990276104e-15, -1.190611247456e-15, 4.914173683207e-21, 6.357107474425e-15, 2.385935092649e-13, 3.779533064851e-14, 3.616316931711e-21, -6.976588807786e-14, 6.726921816802e-19, 7.182044814916e-01, 4.866111054100e-06
2.675000000000e-02, 5.952451806109e-01, 3.000000010544e+02, 1.169845073123e+00, 6.372924035343e-02, 5.273620729920e-07, 1.786807838545e-21, 2.180660062216e-01, 2.240448025231e-17, 8.767308502021e-11, 1.359045255674e-11, 2.077683110546e-14, 1.253784396285e-16, 8.821079565015e-20, 2.331311917982e-13, 1.106553114678e-13, 7.480324227473e-20, 4.761327942618e-14, 1.433033721984e-12, 2.176488100352e-13, 5.566003654741e-20, -5.645247277550e-14, 1.020384478741e-17, 7.182042259596e-01, 7.375566651586e-05
2.700000000000e-02, 5.952523439472e-01, 3.000000079599e+02, 1.169830995070e+00, 6.372921686921e-02, 1.432029840538e-06, 2.467915918895e-20, 2.180658670958e-01, 3.091651096632e-16, 6.447313843950e-10, 1.084651702412e-10, 3.426893486451e-13, 1.725324984671e-15, 1.214352050493e-18, 2.096932484367e-12, 1.039358261909e-12, 1.028787120873e-18, 4.397026308938e-13, 1.061223409946e-11, 1.595563784056e-12, 7.680727783981e-19, 6.889780955000e-14, 1.403528450509e-16, 7.182034832358e-01, 1.013349794836e-03
2.712500000000e-02, 5.952610699164e-01, 3.000000290652e+02, 1.169813846445e+00, 6.372918829201e-02, 2.530810873175e-06, 1.472971101231e-19, 2.180656977630e-01, 1.842149816633e-15, 2.307803604959e-09, 4.137398436097e-10, 1.651269606347e-12, 1.024740092698e-14, 7.218025582690e-18, 8.030898994462e-12, 4.042857162722e-12, 6.109385401000e-18, 1.886011035177e-12, 3.821286239877e-11, 5.726558014361e-12, 4.576291503724e-18, 5.004584089008e-13, 8.278605495499e-16, 7.182025803525e-01, 6.014001505807e-03
2.725000000000e-02, 5.952782141797e-01, 3.000001221000e+02, 1.169780155313e+00, 6.372913225121e-02, 4.676495704708e-06, 8.436771661404e-19, 2.180653656091e-01, 1.052945572026e-14, 9.482277979672e-09, 1.825226689241e-09, 9.189005243052e-12, 5.847848650549e-14, 4.120878658377e-17, 3.521911992828e-11, 1.799339774541e-11, 3.486271660213e-17, 9.481818943859e-12, 1.580697560638e-10, 2.361649184636e-11, 2.615753352977e-17, 2.680208931325e-12, 4.722996013118e-15, 7.182008140801e-01, 3.432341743463e-02
2.731250000000e-02, 5.952930844074e-01, 3.000002875059e+02, 1.169750934585e+00, 6.372908377968e-02, 6.516002507846e-06, 2.427518809843e-18, 2.180650783061e-01, 3.021913685696e-14, 2.198554434080e-08, 4.448917025182e-09, 2.641381756444e-11, 1.673611374428e-13, 1.180309196618e-16, 8.523872828204e-11, 4.403555970197e-11, 9.978135051310e-17, 2.539067896923e-11, 3.682339821161e-10, 5.490603857700e-11, 7.506568623464e-17, 6.998910188586e-12, 1.340368030071e-14, 7.181992948658e-01, 9.821877741758e-02
2.737500000000e-02, 5.953154476953e-01, 3.000007347043e+02, 1.169706992374e+00, 6.372901109944e-02, 9.231904444232e-06, 7.073923374066e-18, 2.180646478433e-01, 8.782462567100e-14, 5.520706363235e-08, 1.182643654955e-08, 8.469708253686e-11, 4.855174455518e-13, 3.426065641135e-16, 2.248707573291e-10, 1.175356785904e-10, 2.894886800583e-16, 7.512270251990e-11, 9.296482588293e-10, 1.383037932619e-10, 2.181607550659e-16, 2.037816468271e-11, 3.884348026326e-14, 7.181970405281e-01, 2.850837773098e-01
2.740625000000e-02, 5.953310388846e-01, 3.000012439665e+02, 1.169676358791e+00, 6.372896053413e-02, 1.107509587261e-05, 1.278169803704e-17, 2.180643490806e-01, 1.582821704780e-13, 9.246106381624e-08, 2.052785414912e-08, 1.659545294594e-10, 8.734025197996e-13, 6.166466631832e-16, 3.884574894924e-10, 2.045138878355e-10, 5.208020576940e-16, 1.396387585314e-10, 1.562216546974e-09, 2.320851438876e-10, 3.931521613307e-16, 3.769512011039e-11, 6.937076600999e-14, 7.181954995688e-01, 5.128179728814e-01
2.743750000000e-02, 5.953509728020e-01, 3.000021869185e+02, 1.169637194948e+00, 6.372889587587e-02, 1.335739623338e-05, 2.344696196623e-17, 2.180639687160e-01, 2.896696357671e-13, 1.605809154133e-07, 3.711266850120e-08, 3.441636008125e-10, 1.596190805131e-12, 1.127473094374e-15, 6.988819357202e-10, 3.707447467939e-10, 9.518753771879e-16, 2.727407819554e-10, 2.723402155002e-09, 4.039569972180e-10, 7.194989826911e-16, 7.414033202432e-11, 1.266135996097e-13, 7.181935754283e-01, 9.377387362907e-01
2.746875000000e-02, 5.953768190348e-01, 3.000039327682e+02, 1.169586419180e+00, 6.372881175261e-02, 1.618343776861e-05, 4.337343004847e-17, 2.180634778341e-01, 5.342567407021e-13, 2.851402231045e-07, 6.872339270627e-08, 7.350501628801e-10, 2.939496488831e-12, 2.077405037320e-15, 1.288033713435e-09, 6.884421493809e-10, 1.753144698653e-15, 5.473437039862e-10, 4.854965007745e-09, 7.189461039375e-10, 1.327017424239e-15, 1.513380786331e-10, 2.328571377124e-13, 7.181911641241e-01, 1.728386857731e+00
