grid, omegaDot_C2H4, omegaDot_H2, omegaDot_H, omegaDot_O2, omegaDot_O, omegaDot_H2O, omegaDot_CO, omegaDot_CO2, omegaDot_OH, omegaDot_HCO, omegaDot_HO2, omegaDot_H2O2, omegaDot_C2H3, omegaDot_C2H2, omegaDot_CH4, omegaDot_CH3, omegaDot_CH2, omegaDot_CH2O, omegaDot_CH2CHO, omegaDot_N2
2.650000000000000272e-02,-2.911099093377409324e-13,-4.476931667912318016e-19,-2.302562175505453762e-18,-6.880316157958520464e-13,-6.198825604272731573e-15,1.323813355546325833e-13,2.755441170277991704e-13,2.256551811266850448e-14,-3.368708120609303038e-14,-7.638491122127194043e-18,2.734158709230593063e-13,2.325109307166092901e-21,-7.965670244095852401e-18,1.094590641399292702e-15,5.087953424296287309e-16,-4.374553261509139291e-15,-9.459811547406410526e-18,3.185278688328203869e-13,-6.082993261942224725e-16,0.000000000000000000e+00
2.675000000000000294e-02,-4.443447490221358559e-12,-1.631836978320099374e-17,-4.383371640867687334e-17,-1.042106376622243491e-11,-1.024913361683168530e-13,2.019267390541270729e-12,4.200057140698088802e-12,3.473110790012205763e-13,-5.536667548704886661e-13,-7.382660508917823895e-17,4.179468812884452670e-12,4.647251879025889336e-18,-9.202728226351802377e-17,1.666164833469756885e-14,2.933135770126754311e-15,-2.519419619515752975e-14,-1.376193002503695947e-16,4.783767109454201301e-12,-3.243794984384233410e-15,0.000000000000000000e+00
2.700000000000000316e-02,-6.116116548130433786e-11,-6.060121818783731317e-16,-6.135847978515614112e-16,-1.431492221522313680e-10,-1.443516668575285548e-12,2.778975005958013891e-11,5.780566077079029563e-11,4.792552798913363174e-12,-7.764374733102258602e-12,-1.081238759687320998e-15,5.755770511925397567e-11,3.759163018178292563e-16,-1.323736481548046177e-15,2.291460313447367866e-13,2.165508269073650219e-14,-1.848386191571432385e-13,-1.954739792689987609e-15,6.555929878262243466e-11,-4.744759511342839089e-14,0.000000000000000000e+00
2.712500000000000328e-02,-3.635022774702972348e-10,-6.343175191121343628e-15,-4.560534072055192526e-15,-8.493477453334139158e-10,-8.776064986761169102e-12,1.650744766175412802e-10,3.428848555097758767e-10,2.855390434815553044e-11,-4.678802370756034730e-11,8.988379976850466459e-16,3.422750131316390379e-10,5.512417829258201888e-15,-2.403110709734612977e-15,1.360727941150461356e-12,7.931596503181605781e-14,-6.649358489527094936e-13,-9.205967047181702632e-15,3.882059076571750850e-10,6.609477077093715857e-13,0.000000000000000000e+00
2.725000000000000339e-02,-2.075031969585846287e-09,-6.680537443440515973e-14,-2.623372365746182501e-14,-4.846843566030800058e-09,-5.065176498821799348e-11,9.422520193165525973e-10,1.957095546291554122e-09,1.632016575881981648e-10,-2.679067607777453517e-10,3.827631703851020074e-15,1.954567273030854534e-09,1.059893340884116473e-13,-1.464314023679704870e-14,7.764427760568262443e-12,3.562437459920466405e-13,-2.770874693158884910e-12,-5.375564504024967551e-14,2.214059274969634489e-09,3.960114289991009407e-12,0.000000000000000000e+00
2.731250000000000344e-02,-5.942892800855409394e-09,-2.662313275387623241e-13,-9.430267687339281384e-14,-1.386555951548754920e-08,-1.476948388272687045e-10,2.697238127911154949e-09,5.591715045664353369e-09,4.683278252657854396e-10,-7.739486385542437381e-10,1.686351053999827136e-13,5.600324127437667376e-09,6.207119129239902254e-13,7.584985420601396723e-14,2.222161189088153751e-11,9.511937239427961693e-13,-6.564810298245723541e-12,-9.992089887262380427e-14,6.324990234840502213e-09,3.048769531918399897e-11,0.000000000000000000e+00
2.737500000000000350e-02,-1.724790491598711272e-08,-1.093825470970237587e-12,-2.781454630275408850e-13,-4.023377756057201596e-08,-4.335596668617159212e-10,7.827399412939461721e-09,1.622283362731227528e-08,1.361005875355818323e-09,-2.248675210223976622e-09,4.957051486803438413e-13,1.625564216707708190e-08,4.319187162162150715e-12,2.256269184686377583e-13,6.446513174156254508e-11,3.255677387788451192e-12,-1.739863035618499297e-11,-2.942600329547814964e-13,1.834755999771640442e-08,9.577980620826042171e-11,0.000000000000000000e+00
2.740625000000000352e-02,-3.104262291914348989e-08,-2.360114284031856439e-12,-5.976424538707262115e-13,-7.234420997378636507e-08,-7.894238477971978006e-10,1.408437465259688232e-08,2.913815689546037785e-08,2.452621106036191799e-09,-4.076192133789403660e-09,1.700783674272289118e-12,2.925651030758293633e-08,1.288772342604976520e-11,1.008729250764653206e-12,1.159693727585464004e-10,7.148796028487187193e-12,-3.089328691604316490e-11,-2.454880041267190595e-13,3.295822290483308691e-08,2.579441345269246599e-10,0.000000000000000000e+00
2.743750000000000355e-02,-5.675181061208351402e-08,-5.201356141050549343e-12,-1.116375827069224360e-12,-1.322193139630886088e-07,-1.455734211031112930e-09,2.574900316458942915e-08,5.324795048262061821e-08,4.488369859690535683e-09,-7.460677393721354553e-09,3.212777558866280564e-12,5.346067630354304530e-08,4.171121038461331431e-11,1.922967454482526855e-12,2.119444755527089784e-10,1.800234955475951977e-11,-5.936380687159968374e-11,-4.277164462671615313e-13,6.022986717950602595e-08,5.009846647555072889e-10,0.000000000000000000e+00
2.746875000000000358e-02,-1.045525757869106976e-07,-1.160395927445798117e-11,-2.096755579084798724e-12,-2.434675735006392268e-07,-2.707692785626906210e-09,4.744244935136202142e-08,9.805502016584034912e-08,8.278114321646912751e-09,-1.376399866198391687e-08,6.006791169550548227e-12,9.836553280401633126e-08,1.416614105089567135e-10,3.607692110679139956e-12,3.903222823862796603e-10,5.080086305807235284e-11,-1.245044010916496060e-10,-7.848293424671387186e-13,1.109180361500209294e-07,9.792788483283329146e-10,0.000000000000000000e+00
2.748437500000000533e-02,-1.438299260983664203e-07,-1.760015433375780418e-11,-3.218883477122810508e-12,-3.346626149795898578e-07,-3.751056503694900602e-09,6.526875261046970860e-08,1.347316262759579988e-07,1.139659242608164348e-08,-1.901970996595489153e-08,1.111170508751082293e-11,1.351614454234626619e-07,2.708376954980989931e-10,7.088694884093796004e-12,5.368080527087652800e-10,9.015327498688848015e-11,-1.901666966948035710e-10,-7.426077127505883137e-14,1.524258995375248538e-07,1.574051846220799270e-09,0.000000000000000000e+00
2.750000000000000361e-02,-1.991000143954267441e-07,-2.689938017580403302e-11,-4.552301796815847122e-12,-4.629712069892464470e-07,-5.227516545092829902e-09,9.036461515325342817e-08,1.864254567992935250e-07,1.578844760491118230e-08,-2.637274150198657611e-08,1.577472356508288125e-11,1.867472891493561159e-07,5.317654366311999070e-10,1.009986827514192940e-11,7.429118780275740480e-10,1.659574193245531063e-10,-3.032328664896545617e-10,4.317118950077955649e-15,2.109247594774090677e-07,2.289082153049009226e-09,0.000000000000000000e+00
2.751562500000000189e-02,-2.767916552639915298e-07,-4.134047159212892770e-11,-6.431033297465046245e-12,-6.431211015626687679e-07,-7.319455121799683674e-09,1.256613742668615511e-07,2.591156631031363173e-07,2.196780086397751481e-08,-3.670322224563089160e-08,2.227497474472200473e-11,2.588527986049735927e-07,1.064865859622419170e-09,1.430108655607092452e-11,1.032556959375424149e-09,3.144774700042995646e-10,-5.044505522588176880e-10,6.725041642213834452e-14,2.931914631845576862e-07,3.250012627013259216e-09,0.000000000000000000e+00
2.753125000000000364e-02,-3.859305243498251999e-07,-6.379302358280057003e-11,-9.105917493560323209e-12,-8.956858993677619544e-07,-1.028945089850830896e-08,1.752827938313638292e-07,3.612334058214908568e-07,3.065943477794668633e-08,-5.123100673521817852e-08,3.135697373960076447e-11,3.592813639514271039e-07,2.163181585019643780e-09,2.016614080887136505e-11,1.439312938705024900e-09,6.092680867914028798e-10,-8.735683811046668628e-10,1.009894071253122272e-13,4.087795076556768191e-07,4.583455921117472858e-09,0.000000000000000000e+00
2.754687500000000538e-02,-5.391971531406971553e-07,-9.873920569611880720e-11,-1.293158266743718383e-11,-1.249274415847614108e-06,-1.451852592015198940e-08,2.450398817756105147e-07,5.046286895636670698e-07,4.288592569542360885e-08,-7.167740920634078801e-08,4.404103792837450384e-11,4.984911142525055277e-07,4.439647737746861683e-09,2.834884672684041228e-11,2.010299438059212147e-09,1.200069639356744260e-09,-1.568705078076893436e-09,5.578385055759694444e-14,5.711229891246532708e-07,6.456817085715417948e-09,0.000000000000000000e+00
2.756250000000000366e-02,-7.544220555804642589e-07,-1.531863708797540939e-10,-1.843737271123127273e-11,-1.743456057757452079e-06,-2.056451900275346395e-08,3.431392730974419794e-07,7.059397327491409402e-07,6.009298040913414642e-08,-1.005005516436496364e-07,6.174007462825691231e-11,6.901290970324449152e-07,9.178311099319247994e-09,3.974875533847638421e-11,2.811698085401684457e-09,2.392511059988333248e-09,-2.906403837177442571e-09,-1.690732629658467707e-13,7.990988495315852342e-07,9.137438743927984192e-09,0.000000000000000000e+00
2.757812500000000194e-02,-1.056707883731995802e-06,-2.381016067075231921e-10,-2.649820149594056387e-11,-2.432470504452083240e-06,-2.925291503569445478e-08,4.812080297843582823e-07,9.884576715958940514e-07,8.433009058792143641e-08,-1.412920048033764524e-07,8.660525362087795992e-11,9.511943311701501490e-07,1.907200232167032488e-08,5.568590711666583111e-11,3.936555964795679375e-09,4.811529363905935967e-09,-5.524833220752656716e-09,-6.248938074487520744e-13,1.119165245423136201e-06,1.319561857334377590e-08,0.000000000000000000e+00
2.758593750000000455e-02,-1.253771829458351710e-06,-2.976900680091826310e-10,-3.341771930638041676e-11,-2.877971148534378439e-06,-3.504742035220009554e-08,5.713909592438972819e-07,1.172209918347027658e-06,1.001727740593091217e-07,-1.682288456176689295e-07,1.179977751951334264e-10,1.115994942467644835e-06,2.768472863244810730e-08,7.749846641434738048e-11,4.669333815373750580e-09,6.874579956533821530e-09,-7.713898499154285108e-09,4.338565652422206647e-12,1.327461437898151784e-06,1.640574102142042260e-08,0.000000000000000000e+00
2.759375000000000369e-02,-1.489811509088278243e-06,-3.728387956086763925e-10,-4.071128768504898607e-11,-3.408208523197566557e-06,-4.209488884787616006e-08,6.796166734403043971e-07,1.392497016070247602e-06,1.191905359636376260e-07,-2.005312567930786026e-07,1.417059505977733877e-10,1.307351762872106925e-06,4.041689477316586066e-08,9.302717408780223441e-11,5.546754395488749110e-09,9.879534186901694467e-09,-1.086491467722878078e-08,5.342001936522101632e-12,1.577206734717766810e-06,1.997866114107969431e-08,0.000000000000000000e+00
2.760156250000000283e-02,-1.772516303689959080e-06,-4.676516208931904656e-10,-4.947137447824443907e-11,-4.038001228737620783e-06,-5.068596489579977382e-08,8.095425878010342365e-07,1.656419155081009236e-06,1.420216932263656616e-07,-2.393847421645474390e-07,1.696136806161460565e-10,1.527494428940452314e-06,5.928779766475135713e-08,1.113704167598235603e-10,6.597191631940070718e-09,1.426807462747738459e-08,-1.541999423581065702e-08,6.078098788629193451e-12,1.876511657119092397e-06,2.409570843082029884e-08,0.000000000000000000e+00
2.760937500000000544e-02,-2.111118965536069442e-06,-5.873252843703967126e-10,-6.023116239505655598e-11,-4.784344121635680802e-06,-6.118426462854488008e-08,9.656054196811078561e-07,1.972563043356519823e-06,1.694413882326590590e-07,-2.862231996118826138e-07,2.027709464840583442e-10,1.777636302195027332e-06,8.731782835213311564e-08,1.331183094828524148e-10,7.854730367891737083e-09,2.069160190379708136e-08,-2.202892746241372027e-08,6.631425851089462878e-12,2.235169931559763084e-06,2.892426899064074040e-08,0.000000000000000000e+00
2.761718750000000458e-02,-2.516717486980255651e-06,-7.384456040041293781e-10,-7.354246703345084272e-11,-5.666392936720022337e-06,-7.404967952619694905e-08,1.153205051767819308e-06,2.351269571225771222e-06,2.023897127139973854e-07,-3.428124872313951133e-07,2.421309972454074744e-10,2.057039025796489604e-06,1.290270728625368838e-07,1.588583120318111330e-10,9.360295206860550541e-09,3.011135116904062505e-08,-3.164771799555049226e-08,6.860588767330715839e-12,2.664988518902263691e-06,3.463384698163189053e-08,0.000000000000000000e+00
2.762500000000000372e-02,-3.002668333551205706e-06,-9.293661025223151880e-10,-9.010118214386492097e-11,-6.705294339909940279e-06,-8.986729111543497693e-08,1.378938746617752552e-06,2.804994266376776762e-06,2.420094713991189283e-07,-4.113522719128130695e-07,2.887932638023030734e-10,2.361549275655407292e-06,1.911824964018954252e-07,1.892597238863759345e-10,1.116308011162639358e-08,4.394638879980771039e-08,-4.568406650393586135e-08,6.539113536907911564e-12,3.180207907855345780e-06,4.140954495903852770e-08,0.000000000000000000e+00
