grid, T, mu, alpha, diff_C2H4, diff_H2, diff_H, diff_O2, diff_O, diff_H2O, diff_CO, diff_CO2, diff_OH, diff_HCO, diff_HO2, diff_H2O2, diff_C2H3, diff_C2H2, diff_CH4, diff_CH3, diff_CH2, diff_CH2O, diff_CH2CHO, diff_N2
2.650000000000000272e-02,3.000000001710714059e+02,1.828530990888799633e-05,2.553404024469207642e-05,1.885521196583308783e-05,7.809698933888576397e-05,1.220700125667803141e-04,2.011547291055039706e-05,3.232817494368309499e-05,2.245215529121661732e-05,2.052963037882986761e-05,1.556973042362093965e-05,3.170682359768145936e-05,1.553254153718228758e-05,2.055793176181931173e-05,2.041561232939950645e-05,1.732504155760694571e-05,1.749698417395718748e-05,2.226078876283720066e-05,2.234086583891735765e-05,2.286176983350636684e-05,1.540223163417026535e-05,1.319582244229728975e-05,2.187737026695400674e-05
2.675000000000000294e-02,3.000000010544268321e+02,1.828530879762992455e-05,2.553432940520038882e-05,1.885527319868003627e-05,7.809731276580002919e-05,1.220702495403653697e-04,2.011553564479864371e-05,3.232827599231146278e-05,2.245222901922695429e-05,2.052969747823018681e-05,1.556978344934670751e-05,3.170692337449926908e-05,1.553259378684154445e-05,2.055799998336333307e-05,2.041568021901346059e-05,1.732509882196764218e-05,1.749704183496354176e-05,2.226085800861970953e-05,2.234093478803756108e-05,2.286183979763058602e-05,1.540228356767667356e-05,1.319586766908943787e-05,2.187738792399300159e-05
2.700000000000000316e-02,3.000000079599099081e+02,1.828530576946837125e-05,2.553516977770524626e-05,1.885545161619104316e-05,7.809825441591102392e-05,1.220709412598955758e-04,2.011571843703122017e-05,3.232857041140767555e-05,2.245244388451166456e-05,2.052989296211483759e-05,1.556993793553905332e-05,3.170721408260892638e-05,1.553274603570595599e-05,2.055819873115770875e-05,2.041587799873650327e-05,1.732526567331117815e-05,1.749720984340028085e-05,2.226105978332496387e-05,2.234113570374218031e-05,2.286204367597457574e-05,1.540243489430861038e-05,1.319599944442006698e-05,2.187743978392892998e-05
2.712500000000000328e-02,3.000000290652465083e+02,1.828530268006049134e-05,2.553619113990498072e-05,1.885566980070979104e-05,7.809940379153038959e-05,1.220717907723587446e-04,2.011594197145102203e-05,3.232893041816431993e-05,2.245270675693832418e-05,2.053013193696915390e-05,1.557012680270525640e-05,3.170756953589916148e-05,1.553293223688790103e-05,2.055844168054945668e-05,2.041611976162549495e-05,1.732546970499862111e-05,1.749741529407993976e-05,2.226130655883383201e-05,2.234138144457049459e-05,2.286229305490195546e-05,1.540261996465928696e-05,1.319616057770492665e-05,2.187750440643957057e-05
2.725000000000000339e-02,3.000001221000158580e+02,1.828529904660565673e-05,2.553818843663698286e-05,1.885610191726852283e-05,7.810167140787762166e-05,1.220734878845899549e-04,2.011638468426909742e-05,3.232964327460207830e-05,2.245322784819022563e-05,2.053060490543409073e-05,1.557050064522098407e-05,3.170827331199543354e-05,1.553330108286637696e-05,2.055892245219748777e-05,2.041659817261638169e-05,1.732587375646659793e-05,1.749782217207522834e-05,2.226179541277251852e-05,2.234186831312481375e-05,2.286278719000861792e-05,1.540298655867981117e-05,1.319647965064694795e-05,2.187763726513121255e-05
2.731250000000000344e-02,3.000002875059116150e+02,1.828529990007817874e-05,2.553990546210770421e-05,1.885648237268955916e-05,7.810365367709123669e-05,1.220750059779216346e-04,2.011677447098626247e-05,3.233027067733237881e-05,2.245368740507843928e-05,2.053102080131684622e-05,1.557082944982055603e-05,3.170889261858080444e-05,1.553362595045598677e-05,2.055934510649726400e-05,2.041701873089983476e-05,1.732622944459752743e-05,1.749818037525106235e-05,2.226222600653202284e-05,2.234229726279120582e-05,2.286322263742323162e-05,1.540330942341709296e-05,1.319676049055550882e-05,2.187776218458602486e-05
2.737500000000000350e-02,3.000007347043263621e+02,1.828531057041628968e-05,2.554245188620816426e-05,1.885706779165153012e-05,7.810667096687398084e-05,1.220773970332334152e-04,2.011737425394647500e-05,3.233123555247096719e-05,2.245439629988822238e-05,2.053165953616007826e-05,1.557133459885012613e-05,3.170984480181336109e-05,1.553412610848340796e-05,2.055999398194372743e-05,2.041766434053041035e-05,1.732677662087132433e-05,1.749873148259148599e-05,2.226288900073060978e-05,2.234295796683577121e-05,2.286389357054312846e-05,1.540380645312128095e-05,1.319719242797604050e-05,2.187797274391640274e-05
2.740625000000000352e-02,3.000012439664513408e+02,1.828532735498118093e-05,2.554419168764752722e-05,1.885748912611299761e-05,7.810881054894146074e-05,1.220791715289501228e-04,2.011780593321479838e-05,3.233192947120392768e-05,2.245490821060406225e-05,2.053211805851625003e-05,1.557169739046084732e-05,3.171052935819977767e-05,1.553448634614867070e-05,2.056045955039136218e-05,2.041812751900294576e-05,1.732717030293460169e-05,1.749912805337858635e-05,2.226336658211781747e-05,2.234343413290678092e-05,2.286437732321399779e-05,1.540416439406636678e-05,1.319750310523041837e-05,2.187814213298652208e-05
2.743750000000000355e-02,3.000021869185429750e+02,1.828536263004718445e-05,2.554636371903533747e-05,1.885804731934488548e-05,7.811159928789254301e-05,1.220815991833821765e-04,2.011837784304371424e-05,3.233284805055101555e-05,2.245558884407327806e-05,2.053272382364224120e-05,1.557217692081314304e-05,3.171143520792803352e-05,1.553496397954383010e-05,2.056107428860206283e-05,2.041873903432790571e-05,1.732769167807531797e-05,1.749965334078801515e-05,2.226399988737284009e-05,2.234406589632308466e-05,2.286501945914106403e-05,1.540463891996617248e-05,1.319791441962345711e-05,2.187839210021080635e-05
2.746875000000000358e-02,3.000039327682395083e+02,1.828543314270571866e-05,2.554908617834418373e-05,1.885880603912745660e-05,7.811531055912486422e-05,1.220850317730709576e-04,2.011915522970178174e-05,3.233409534074484665e-05,2.245651821144423166e-05,2.053354427162553232e-05,1.557282680923295222e-05,3.171266463107436247e-05,1.553561386226707505e-05,2.056190630643389117e-05,2.041956657353891105e-05,1.732840003643283352e-05,1.750036716443582649e-05,2.226486173298840841e-05,2.234492622230599041e-05,2.286589444046507197e-05,1.540528446680965158e-05,1.319847301598710676e-05,2.187877609883776976e-05
