grid,velocity,T,density,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0.026000000000000002,0.3845115008998188,300.0003474622884,1.1224946322482856,2.5875240741825696e-06,3.6455773247932413e-23,1.4055317443908068e-13,0.22005992896325544,1.0128194531851503e-16,3.038825780137488e-08,5.510886909813054e-11,3.700520022156664e-11,0.0,8.063609988877044e-42,2.883777674573604e-26,4.509754422431241e-28,1.5991951688851181e-12,0.05516615696747593,4.2276008999148865e-09,2.09255927416822e-10,9.45033154628456e-25,2.471719202237623e-11,4.229406324560762e-27,5.4791821404563733e-17,3.867835739000794e-12,3.286729953677867e-39,7.288401200861245e-13,4.645981144329037e-30,5.180757057334255e-12,0.0,7.084083889127612e-12,9.665824294125979e-26,9.933020876568846e-14,1.6427879088454483e-14,2.463901184276328e-18,3.87613765788641e-23,5.639063059624711e-14,1.0271161910438847e-14,1.177713671170468e-31,3.014142272586706e-13,2.3622616248015483e-13,0.0,0.0,0.0,8.317962347370005e-14,0.0,0.0,4.061345273485381e-16,5.198779255382914e-18,3.416664314786871e-15,0.0,0.7247712915837647,0.0,0.0,1.59757235501291e-14,3.8887734134815314e-23,5.929268384840819e-14
0.026500000000000003,0.3845455667972866,300.00329860244574,1.1223951933700853,8.796274908578696e-06,1.3774653177546495e-21,8.115807853959885e-13,0.22005859239909825,1.5744818858465432e-15,2.8711225063006174e-07,5.598252416499925e-10,3.7906705879460237e-10,0.0,1.387431047893747e-40,2.874954469127516e-24,6.489656274179431e-26,1.469142258608187e-11,0.05516544563052307,4.3158173295401576e-08,2.742100743246959e-09,7.357822678456373e-23,3.276049435575822e-10,3.970734781306414e-25,4.289571233310869e-15,5.22040656216452e-11,6.388519039559574e-37,9.125033834731606e-12,9.220056956342577e-28,6.60398064111727e-11,0.0,9.914360334619788e-11,6.977423634823149e-24,1.7599824018406222e-12,1.733663102571228e-14,9.503508029752912e-18,1.4686107514280036e-21,3.7286801280450104e-13,9.043799904061303e-14,4.450162865531449e-30,2.1271320317725255e-12,2.8716738149649035e-12,3.127916770402781e-15,0.0,0.0,2.2339115043083483e-13,0.0,1.3723780976108165e-40,5.020402712364957e-15,6.813502670323383e-17,4.9202004383693507e-14,0.0,0.7247668311658642,0.0,0.0,1.4463823071415775e-13,2.876676524612564e-21,8.978797403900689e-13
0.026750000000000003,0.3846027311606774,300.0142044391416,1.1222283692950201,1.763901881570087e-05,2.2907915232869763e-20,2.6573120060507753e-12,0.2200564033064446,2.860464102211878e-14,1.231803669745115e-06,2.556643851382595e-09,1.7402028937174993e-09,5.334837576112246e-51,3.502054120638296e-39,1.2951471398270489e-22,5.0506178799723756e-24,6.296006071636415e-11,0.05516414588901134,1.9748780128050586e-07,1.5527351636721148e-08,1.6851285248670837e-21,1.872863059491424e-09,1.5406484098589032e-23,1.0794641215746469e-13,3.0288130243718996e-10,6.298217394022923e-35,4.946325978197664e-11,9.29324605451644e-26,3.6848987763824107e-10,0.0,5.921272998420689e-10,1.2476405032914603e-22,1.1450276754522721e-11,2.2639175681103596e-14,4.204065773907539e-17,1.680278538633649e-20,1.2091121595829818e-12,3.9215790774784427e-13,7.403575958498624e-29,9.415802988678599e-12,1.504616622280564e-11,2.4040004217594205e-14,7.0601609700592574e-15,8.981884280886724e-36,9.485060950094872e-13,0.0,3.416995992870634e-39,2.8407192552922437e-14,3.871187951077037e-16,2.812591060077443e-13,0.0,0.7247603593728049,0.0,0.0,1.017220308433736e-12,5.296233352119542e-20,5.8322473512881335e-12
0.027000000000000003,0.3847729255488568,300.0715373381673,1.121731980590709,3.73785662957233e-05,7.259859991959045e-19,1.0009932744695487e-11,0.22004999463107883,6.639533425120738e-13,6.1813507529997495e-06,1.3755555785304858e-08,9.414309002305286e-09,1.1804669815722688e-47,6.39931689046399e-36,1.2271446129047638e-20,5.877548812748391e-22,3.1598952145153824e-10,0.05515988709321283,1.0646160612480763e-06,1.0583206414072797e-07,9.579334860597308e-20,1.2896371558240344e-08,1.7105748154931564e-21,2.7165831753396872e-12,2.1196796286855877e-09,9.544671457181695e-33,3.2129017944612483e-10,1.4471783481570217e-23,2.4732641461115326e-09,4.6375096714476565e-17,4.2761743226806e-09,3.205639422024457e-21,9.006728566645008e-11,6.56580797878679e-14,2.1590379047509686e-16,2.451034198431666e-19,4.434009308749385e-12,2.006763373747534e-12,2.351469000952357e-27,5.0647618918226007e-11,9.407440514481669e-11,1.7288100686448805e-13,1.7736178560746406e-13,3.630565091397837e-33,6.1897657597706555e-12,0.0,9.091616949454067e-36,1.942344778579315e-13,2.6489173543684795e-15,1.9266925602872604e-12,2.1208787091471594e-15,0.7247453420191637,0.0,0.0,9.19779111264549e-12,1.344292890106696e-18,4.618633918295076e-11
0.027250000000000003,0.38537624519495867,300.3724268019908,1.119975871296333,8.142222408206141e-05,3.0584712288627134e-17,3.9449071090849463e-11,0.22002707275511232,1.4996298207898168e-11,3.209492355427533e-05,7.656201211136347e-08,5.2622674475036236e-08,1.073070661577666e-44,2.0603966659253366e-32,1.3491743210774195e-18,6.841199078962993e-20,1.6315775140750113e-09,0.05514351195694477,5.9338261162650156e-06,7.432401058343203e-07,1.0938505471565732e-17,9.141668673934232e-08,2.573609560034087e-19,6.516587455301482e-11,1.5277492145276642e-08,1.4830371369555184e-30,2.1518542662516562e-09,2.272689440582176e-21,1.71106382578809e-08,5.983086379852411e-15,3.178723750473904e-08,1.1173944154408682e-19,7.2742084879676e-10,4.144142942749679e-13,1.1381911739043054e-15,4.153308332692001e-18,1.686487634652656e-11,1.0640265216548261e-11,1.0027903809063999e-25,2.8402664998134156e-10,6.062583977246976e-10,1.2315361473466025e-12,1.1365968253150688e-12,5.911743846793737e-31,4.404684384164108e-11,4.965044787734408e-14,2.890135119045127e-32,1.36926378341455e-12,1.867570898683583e-14,1.3586006179341429e-11,3.0403529923899854e-14,0.7247089302253917,0.0,0.0,8.583820033026744e-11,3.670514356308634e-17,3.759688294331396e-10
0.027375000000000003,0.386394696070886,301.0005696159342,1.117023863421573,0.000123737325832446,3.5713528841084733e-16,8.872034482737277e-11,0.21998673572821825,1.141901490293379e-10,8.611452786599633e-05,2.168553101807825e-07,1.4873339248310638e-07,2.185796019682582e-42,3.9473596766828595e-30,2.6734266598080968e-17,1.3729969487525702e-18,4.30447984807783e-09,0.05511475726289549,1.677979294810478e-05,2.5071044292949093e-06,2.657225791934393e-16,3.1002942969329337e-07,6.654026709980871e-18,5.516011272827586e-10,5.258911069200699e-08,3.8824965539667504e-29,6.9956076226354576e-09,5.843020319306273e-20,5.704525675853661e-08,1.1428517051687101e-13,1.121191606443376e-07,1.5004693120206756e-18,2.7410812598823563e-09,1.516276361332046e-12,3.0900249690438086e-15,3.221498640058319e-17,3.636587799656773e-11,2.8996673423959124e-11,1.201803518005474e-24,8.109964836853833e-10,1.907328519547062e-09,4.1825980336098815e-12,3.2769976477869697e-12,1.617408303533749e-29,1.5112249122388102e-10,2.1244289133004185e-13,5.522828360137009e-30,4.632954997781715e-12,6.319076429376692e-14,4.597020802801124e-11,1.0868879946930188e-13,0.7246684513054616,0.0,0.0,3.641842191965946e-10,2.815245243556723e-16,1.425931914662247e-09
0.027500000000000004,0.3892485243255797,302.94868406948063,1.1088342531747672,0.00019177111437564847,4.396753852677999e-15,2.177590173409642e-10,0.21986720646175334,7.900848496573814e-10,0.0002533214319595214,6.803717106654218e-07,4.632270998077484e-07,3.4712905306228136e-39,7.82586682771629e-28,5.171834596103262e-16,2.688652315486474e-17,1.2174213861669048e-08,0.055033658180931644,5.2436300674984575e-05,9.566071298359751e-06,6.918594086283566e-15,1.1880579387621086e-06,1.780754476529127e-16,4.601632878597143e-09,2.0524317295600823e-07,1.1676570532875076e-27,2.560348709959856e-08,1.5813174737566434e-18,2.1479018730550837e-07,1.6168322299161886e-12,4.498628289172174e-07,3.28589981008252e-17,1.1844227430131337e-08,6.497453185838055e-12,8.903279062624311e-15,3.22889455468063e-16,8.344504499431529e-11,8.684313943801154e-11,1.603813506136306e-23,2.5739316668023388e-09,6.709076818080567e-09,1.6072379702581617e-11,1.0323417811932063e-11,5.073891313899418e-28,5.881541965938466e-10,8.813588635530371e-13,1.0791438654367563e-27,1.7739023572865898e-11,2.4195072765064374e-13,1.7601603699497155e-10,4.2212636409743617e-13,0.7245887653795489,0.0,1.448318814407238e-13,1.7971521644446826e-09,2.714663355951279e-15,6.206531784378707e-09
0.027562500000000004,0.3927218216282748,305.44244807556845,1.099027539552742,0.00024114548453259862,1.9642426161873785e-14,3.734521974098446e-10,0.21971285354100717,2.3742723824784227e-09,0.0004669732295622085,1.3176837771574825e-06,8.806794158987266e-07,3.3064718116638466e-37,1.704471817810713e-26,2.7456299653799915e-15,1.441194661364029e-16,2.1651018730788798e-08,0.05493573189045878,0.00010061275084589614,2.097545854159112e-05,4.5348028318711745e-14,2.604352507306825e-06,1.1827608538078572e-15,1.7257845404814243e-08,4.568941386748484e-07,9.29343702213213e-27,5.457227537024516e-08,1.0841397396624176e-17,4.6667904714285124e-07,9.144049579532907e-12,1.0210898184952792e-06,2.210343939439547e-16,2.8308101477264288e-08,1.5506320801088714e-11,1.6188725436755002e-14,1.6728795353682507e-15,1.3175788655545103e-10,1.619813066427896e-10,7.935164962667176e-23,5.043907147464737e-09,1.3828962913495805e-08,3.5409623957397775e-11,1.9845417454369905e-11,4.11471619788398e-27,1.3070270766708375e-09,1.9883077060152016e-12,2.3151731443737772e-26,3.899002482275531e-11,5.318033203929203e-13,3.8688037591334267e-10,9.29404794362282e-13,0.7245147951099923,0.0,5.886729052280951e-13,4.7244364415958665e-09,1.0831684615772554e-14,1.4911404528783442e-08
0.027625000000000004,0.3995756512721518,310.48424150015074,1.0801761742461302,0.00030478964914241725,9.420197068754146e-14,6.835608796272054e-10,0.2193927428102285,6.8406964022434866e-09,0.0008964362292686145,2.687899403393702e-06,1.7434617981124765e-06,3.669881565206922e-35,4.00340711019733e-25,1.4468307843239592e-14,7.734107586721658e-16,4.00264843535558e-08,0.05474549064458224,0.00020231660880222583,4.901617944854173e-05,3.034911631478065e-13,6.071944706748062e-06,7.993764678888711e-15,6.531661418618498e-08,1.0854593661974794e-06,9.306455006703221e-26,1.235162062526768e-07,7.956502186395405e-17,1.0791874045511254e-06,4.6620699510687364e-11,2.4813041303308653e-06,1.6271197445351715e-15,7.290061546649459e-08,3.990669122920293e-11,3.0429830511407015e-14,8.708429204707574e-15,2.131172386957786e-10,3.151857702593209e-10,4.654882432254129e-22,1.0465643709467378e-08,3.001435493001775e-08,8.319269216708621e-11,3.9948266635245574e-11,4.1244614468623086e-26,3.0990226037169314e-09,4.762162389239564e-12,5.268561617822671e-25,9.136522156001697e-11,1.24617370290474e-12,9.065760604699057e-10,2.178054681829375e-12,0.724393651821168,0.0,2.0843135265064724e-12,1.355885199704152e-08,5.155295586737492e-14,3.863180301145885e-08
0.027687500000000004,0.41301704397866085,320.52104725092477,1.0450224901995357,0.0003856524878478271,5.037301642935476e-13,1.3581183732963592e-09,0.21873572598761176,1.893630719966741e-08,0.0017398891017132284,5.619979005889933e-06,3.456752189253478e-06,5.065164531525472e-33,1.0660693227164045e-23,7.6045350083284e-14,4.2061039082288435e-15,7.746310621262679e-08,0.0543810937314033,0.00041286480952543,0.00011642286989175583,1.9754705196158076e-12,1.4323481141910605e-05,5.222218674641619e-14,2.447806781630805e-07,2.618253893371389e-06,1.339002808929829e-24,2.840916744442016e-07,6.229522338767706e-16,2.5356084810997793e-06,2.2726895996145667e-10,6.130960971996048e-06,1.2283667413011174e-14,1.9081726823542532e-07,1.0442746042477455e-10,5.835296086529788e-14,4.8005817062150896e-14,3.477793138668664e-10,6.206278782903732e-10,3.644338561957995e-21,2.24663136453612e-08,6.545866353073977e-08,1.9868580121804177e-10,8.153224519775245e-11,5.685340956841243e-25,7.459864573835814e-09,1.1546805683617632e-11,1.3152619018336972e-23,2.1763281568635276e-10,2.9683978826811064e-12,2.1594707882473923e-09,5.188622231753148e-12,0.7241926077943441,0.0,7.503477811050266e-12,3.960304663390327e-08,2.9145228704545223e-13,1.0175928327635317e-07
